term_id,langs,country,term,type,code_lang
6,Arabic,"Cairo,Cairo Governorate,Egypt",???? ????,Canonical Scientific Issues,ar
6,Arabic,"Jerusalem District,Israel",???? ????,Canonical Scientific Issues,ar
8,Arabic,"Cairo,Cairo Governorate,Egypt",????,Canonical Scientific Issues,ar
8,Arabic,"Jerusalem District,Israel",????,Canonical Scientific Issues,ar
12,Arabic,"Cairo,Cairo Governorate,Egypt",???,Canonical Scientific Issues,ar
12,Arabic,"Jerusalem District,Israel",???,Canonical Scientific Issues,ar
13,Arabic,"Cairo,Cairo Governorate,Egypt",??????,Canonical Scientific Issues,ar
13,Arabic,"Jerusalem District,Israel",??????,Canonical Scientific Issues,ar
16,Arabic,"Cairo,Cairo Governorate,Egypt",?????,Canonical Scientific Issues,ar
16,Arabic,"Jerusalem District,Israel",?????,Canonical Scientific Issues,ar
20,Arabic,"Cairo,Cairo Governorate,Egypt",???,Canonical Scientific Issues,ar
20,Arabic,"Jerusalem District,Israel",???,Canonical Scientific Issues,ar
28,Arabic,"Cairo,Cairo Governorate,Egypt",????,Canonical Scientific Issues,ar
28,Arabic,"Jerusalem District,Israel",????,Canonical Scientific Issues,ar
29,Arabic,"Cairo,Cairo Governorate,Egypt",???,Canonical Scientific Issues,ar
29,Arabic,"Jerusalem District,Israel",???,Canonical Scientific Issues,ar
35,Arabic,"Cairo,Cairo Governorate,Egypt",???????? ???????,Canonical Scientific Issues,ar
35,Arabic,"Jerusalem District,Israel",???????? ???????,Canonical Scientific Issues,ar
38,Arabic,"Cairo,Cairo Governorate,Egypt",????,Canonical Scientific Issues,ar
38,Arabic,"Jerusalem District,Israel",????,Canonical Scientific Issues,ar
53,Arabic,"Cairo,Cairo Governorate,Egypt",??? ???????,Socio-Scientific Isuues,ar
53,Arabic,"Jerusalem District,Israel",??? ???????,Socio-Scientific Isuues,ar
54,Arabic,"Cairo,Cairo Governorate,Egypt",????? ???????,Socio-Scientific Isuues,ar
54,Arabic,"Jerusalem District,Israel",????? ???????,Socio-Scientific Isuues,ar
56,Arabic,"Cairo,Cairo Governorate,Egypt",???? ??????,Socio-Scientific Isuues,ar
56,Arabic,"Jerusalem District,Israel",???? ??????,Socio-Scientific Isuues,ar
58,Arabic,"Cairo,Cairo Governorate,Egypt",???? ??????,Socio-Scientific Isuues,ar
58,Arabic,"Jerusalem District,Israel",???? ??????,Socio-Scientific Isuues,ar
59,Arabic,"Cairo,Cairo Governorate,Egypt",???????? ???????,Socio-Scientific Isuues,ar
59,Arabic,"Jerusalem District,Israel",???????? ???????,Socio-Scientific Isuues,ar
65,Arabic,"Cairo,Cairo Governorate,Egypt",???? ??????,Socio-Scientific Isuues,ar
65,Arabic,"Jerusalem District,Israel",???? ??????,Socio-Scientific Isuues,ar
66,Arabic,"Cairo,Cairo Governorate,Egypt",????? ?????,Socio-Scientific Isuues,ar
66,Arabic,"Jerusalem District,Israel",????? ?????,Socio-Scientific Isuues,ar
68,Arabic,"Cairo,Cairo Governorate,Egypt",????,Socio-Scientific Isuues,ar
68,Arabic,"Jerusalem District,Israel",????,Socio-Scientific Isuues,ar
70,Arabic,"Cairo,Cairo Governorate,Egypt",???????,Socio-Scientific Isuues,ar
70,Arabic,"Jerusalem District,Israel",???????,Socio-Scientific Isuues,ar
71,Arabic,"Cairo,Cairo Governorate,Egypt",????,Socio-Scientific Isuues,ar
71,Arabic,"Jerusalem District,Israel",????,Socio-Scientific Isuues,ar
39,Arabic,"Cairo,Cairo Governorate,Egypt",????? ?????????? ????????,Novel Science and Technology Issues,ar
39,Arabic,"Jerusalem District,Israel",????? ?????????? ????????,Novel Science and Technology Issues,ar
42,Arabic,"Cairo,Cairo Governorate,Egypt",????? ?????? ?????? ???????,Novel Science and Technology Issues,ar
42,Arabic,"Jerusalem District,Israel",????? ?????? ?????? ???????,Novel Science and Technology Issues,ar
43,Arabic,"Cairo,Cairo Governorate,Egypt",???????,Novel Science and Technology Issues,ar
43,Arabic,"Jerusalem District,Israel",???????,Novel Science and Technology Issues,ar
44,Arabic,"Cairo,Cairo Governorate,Egypt",??????,Novel Science and Technology Issues,ar
44,Arabic,"Jerusalem District,Israel",??????,Novel Science and Technology Issues,ar
45,Arabic,"Cairo,Cairo Governorate,Egypt",?????????,Novel Science and Technology Issues,ar
45,Arabic,"Jerusalem District,Israel",?????????,Novel Science and Technology Issues,ar
46,Arabic,"Cairo,Cairo Governorate,Egypt",??????,Novel Science and Technology Issues,ar
46,Arabic,"Jerusalem District,Israel",??????,Novel Science and Technology Issues,ar
48,Arabic,"Cairo,Cairo Governorate,Egypt",???? ????????,Novel Science and Technology Issues,ar
48,Arabic,"Jerusalem District,Israel",???? ????????,Novel Science and Technology Issues,ar
49,Arabic,"Cairo,Cairo Governorate,Egypt",????? ??????,Novel Science and Technology Issues,ar
49,Arabic,"Jerusalem District,Israel",????? ??????,Novel Science and Technology Issues,ar
52,Arabic,"Cairo,Cairo Governorate,Egypt",????,Novel Science and Technology Issues,ar
52,Arabic,"Jerusalem District,Israel",????,Novel Science and Technology Issues,ar
87,Arabic,"Cairo,Cairo Governorate,Egypt",????? ????? ???????,Novel Science and Technology Issues,ar
87,Arabic,"Jerusalem District,Israel",????? ????? ???????,Novel Science and Technology Issues,ar
73-B,Arabic,"Cairo,Cairo Governorate,Egypt",???????? ??????? ????,Conspiracy Theories,ar
73-B,Arabic,"Jerusalem District,Israel",???????? ??????? ????,Conspiracy Theories,ar
74-B,Arabic,"Cairo,Cairo Governorate,Egypt",???? ?????? ????,Conspiracy Theories,ar
74-B,Arabic,"Jerusalem District,Israel",???? ?????? ????,Conspiracy Theories,ar
77-B,Arabic,"Cairo,Cairo Governorate,Egypt",???????? ???? ??????,Conspiracy Theories,ar
77-B,Arabic,"Jerusalem District,Israel",???????? ???? ??????,Conspiracy Theories,ar
79-B,Arabic,"Cairo,Cairo Governorate,Egypt",????? ?????,Conspiracy Theories,ar
79-B,Arabic,"Jerusalem District,Israel",????? ?????,Conspiracy Theories,ar
80-B,Arabic,"Cairo,Cairo Governorate,Egypt",?????? ??? ????? ????,Conspiracy Theories,ar
80-B,Arabic,"Jerusalem District,Israel",?????? ??? ????? ????,Conspiracy Theories,ar
5,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
5,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
5,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
5,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
6,Chinese,"Washington,District of Columbia,United States",????,Canonical Scientific Issues,zh
6,Chinese,"Bangkok,Bangkok,Thailand",????,Canonical Scientific Issues,zh
6,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Canonical Scientific Issues,zh
6,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Canonical Scientific Issues,zh
8,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
8,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
8,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
8,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
12,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
12,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
12,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
12,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
13,Chinese,"Washington,District of Columbia,United States",????,Canonical Scientific Issues,zh
13,Chinese,"Bangkok,Bangkok,Thailand",????,Canonical Scientific Issues,zh
13,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Canonical Scientific Issues,zh
13,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Canonical Scientific Issues,zh
16,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
16,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
16,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
16,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
20,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
20,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
20,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
20,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
28,Chinese,"Washington,District of Columbia,United States",?????,Canonical Scientific Issues,zh
28,Chinese,"Bangkok,Bangkok,Thailand",?????,Canonical Scientific Issues,zh
28,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",?????,Canonical Scientific Issues,zh
28,Chinese,"Central Jakarta,Jakarta,Indonesia",?????,Canonical Scientific Issues,zh
29,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
29,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
29,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
29,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
35,Chinese,"Washington,District of Columbia,United States",???,Canonical Scientific Issues,zh
35,Chinese,"Bangkok,Bangkok,Thailand",???,Canonical Scientific Issues,zh
35,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",???,Canonical Scientific Issues,zh
35,Chinese,"Central Jakarta,Jakarta,Indonesia",???,Canonical Scientific Issues,zh
38,Chinese,"Washington,District of Columbia,United States",??,Canonical Scientific Issues,zh
38,Chinese,"Bangkok,Bangkok,Thailand",??,Canonical Scientific Issues,zh
38,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Canonical Scientific Issues,zh
38,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Canonical Scientific Issues,zh
53,Chinese,"Washington,District of Columbia,United States",????,Socio-Scientific Isuues,zh
53,Chinese,"Bangkok,Bangkok,Thailand",????,Socio-Scientific Isuues,zh
53,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Socio-Scientific Isuues,zh
53,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Socio-Scientific Isuues,zh
54,Chinese,"Washington,District of Columbia,United States",????,Socio-Scientific Isuues,zh
54,Chinese,"Bangkok,Bangkok,Thailand",????,Socio-Scientific Isuues,zh
54,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Socio-Scientific Isuues,zh
54,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Socio-Scientific Isuues,zh
56,Chinese,"Washington,District of Columbia,United States",???,Socio-Scientific Isuues,zh
56,Chinese,"Bangkok,Bangkok,Thailand",???,Socio-Scientific Isuues,zh
56,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",???,Socio-Scientific Isuues,zh
56,Chinese,"Central Jakarta,Jakarta,Indonesia",???,Socio-Scientific Isuues,zh
58,Chinese,"Washington,District of Columbia,United States",?????,Socio-Scientific Isuues,zh
58,Chinese,"Bangkok,Bangkok,Thailand",?????,Socio-Scientific Isuues,zh
58,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",?????,Socio-Scientific Isuues,zh
58,Chinese,"Central Jakarta,Jakarta,Indonesia",?????,Socio-Scientific Isuues,zh
59,Chinese,"Washington,District of Columbia,United States",????,Socio-Scientific Isuues,zh
59,Chinese,"Bangkok,Bangkok,Thailand",????,Socio-Scientific Isuues,zh
59,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Socio-Scientific Isuues,zh
59,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Socio-Scientific Isuues,zh
65,Chinese,"Washington,District of Columbia,United States",????,Socio-Scientific Isuues,zh
65,Chinese,"Bangkok,Bangkok,Thailand",????,Socio-Scientific Isuues,zh
65,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Socio-Scientific Isuues,zh
65,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Socio-Scientific Isuues,zh
66,Chinese,"Washington,District of Columbia,United States",????,Socio-Scientific Isuues,zh
66,Chinese,"Bangkok,Bangkok,Thailand",????,Socio-Scientific Isuues,zh
66,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Socio-Scientific Isuues,zh
66,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Socio-Scientific Isuues,zh
68,Chinese,"Washington,District of Columbia,United States",??,Socio-Scientific Isuues,zh
68,Chinese,"Bangkok,Bangkok,Thailand",??,Socio-Scientific Isuues,zh
68,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Socio-Scientific Isuues,zh
68,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Socio-Scientific Isuues,zh
70,Chinese,"Washington,District of Columbia,United States",??,Socio-Scientific Isuues,zh
70,Chinese,"Bangkok,Bangkok,Thailand",??,Socio-Scientific Isuues,zh
70,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Socio-Scientific Isuues,zh
70,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Socio-Scientific Isuues,zh
71,Chinese,"Washington,District of Columbia,United States",??,Socio-Scientific Isuues,zh
71,Chinese,"Bangkok,Bangkok,Thailand",??,Socio-Scientific Isuues,zh
71,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Socio-Scientific Isuues,zh
71,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Socio-Scientific Isuues,zh
73-B,Chinese,"Washington,District of Columbia,United States",??????,Conspiracy theories,zh
73-B,Chinese,"Bangkok,Bangkok,Thailand",??????,Conspiracy theories,zh
73-B,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??????,Conspiracy theories,zh
73-B,Chinese,"Central Jakarta,Jakarta,Indonesia",??????,Conspiracy theories,zh
74-B,Chinese,"Washington,District of Columbia,United States",??????,Conspiracy theories,zh
74-B,Chinese,"Bangkok,Bangkok,Thailand",??????,Conspiracy theories,zh
74-B,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??????,Conspiracy theories,zh
74-B,Chinese,"Central Jakarta,Jakarta,Indonesia",??????,Conspiracy theories,zh
77-B,Chinese,"Washington,District of Columbia,United States",?? ???,Conspiracy theories,zh
77-B,Chinese,"Bangkok,Bangkok,Thailand",?? ???,Conspiracy theories,zh
77-B,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",?? ???,Conspiracy theories,zh
77-B,Chinese,"Central Jakarta,Jakarta,Indonesia",?? ???,Conspiracy theories,zh
79-B,Chinese,"Washington,District of Columbia,United States",???,Conspiracy theories,zh
79-B,Chinese,"Bangkok,Bangkok,Thailand",???,Conspiracy theories,zh
79-B,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",???,Conspiracy theories,zh
79-B,Chinese,"Central Jakarta,Jakarta,Indonesia",???,Conspiracy theories,zh
80-B,Chinese,"Washington,District of Columbia,United States",?? ??,Conspiracy theories,zh
80-B,Chinese,"Bangkok,Bangkok,Thailand",?? ??,Conspiracy theories,zh
80-B,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",?? ??,Conspiracy theories,zh
80-B,Chinese,"Central Jakarta,Jakarta,Indonesia",?? ??,Conspiracy theories,zh
39,Chinese,"Washington,District of Columbia,United States",PCR,Novel Science and Technology Issues,zh
39,Chinese,"Bangkok,Bangkok,Thailand",PCR,Novel Science and Technology Issues,zh
39,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",PCR,Novel Science and Technology Issues,zh
39,Chinese,"Central Jakarta,Jakarta,Indonesia",PCR,Novel Science and Technology Issues,zh
42,Chinese,"Washington,District of Columbia,United States",mRNA,Novel Science and Technology Issues,zh
42,Chinese,"Bangkok,Bangkok,Thailand",mRNA,Novel Science and Technology Issues,zh
42,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",mRNA,Novel Science and Technology Issues,zh
42,Chinese,"Central Jakarta,Jakarta,Indonesia",mRNA,Novel Science and Technology Issues,zh
43,Chinese,"Washington,District of Columbia,United States",???,Novel Science and Technology Issues,zh
43,Chinese,"Bangkok,Bangkok,Thailand",???,Novel Science and Technology Issues,zh
43,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",???,Novel Science and Technology Issues,zh
43,Chinese,"Central Jakarta,Jakarta,Indonesia",???,Novel Science and Technology Issues,zh
44,Chinese,"Washington,District of Columbia,United States",??,Novel Science and Technology Issues,zh
44,Chinese,"Bangkok,Bangkok,Thailand",??,Novel Science and Technology Issues,zh
44,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Novel Science and Technology Issues,zh
44,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Novel Science and Technology Issues,zh
45,Chinese,"Washington,District of Columbia,United States",???,Novel Science and Technology Issues,zh
45,Chinese,"Bangkok,Bangkok,Thailand",???,Novel Science and Technology Issues,zh
45,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",???,Novel Science and Technology Issues,zh
45,Chinese,"Central Jakarta,Jakarta,Indonesia",???,Novel Science and Technology Issues,zh
46,Chinese,"Washington,District of Columbia,United States",????,Novel Science and Technology Issues,zh
46,Chinese,"Bangkok,Bangkok,Thailand",????,Novel Science and Technology Issues,zh
46,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",????,Novel Science and Technology Issues,zh
46,Chinese,"Central Jakarta,Jakarta,Indonesia",????,Novel Science and Technology Issues,zh
48,Chinese,"Washington,District of Columbia,United States",?????,Novel Science and Technology Issues,zh
48,Chinese,"Bangkok,Bangkok,Thailand",?????,Novel Science and Technology Issues,zh
48,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",?????,Novel Science and Technology Issues,zh
48,Chinese,"Central Jakarta,Jakarta,Indonesia",?????,Novel Science and Technology Issues,zh
49,Chinese,"Washington,District of Columbia,United States",??,Novel Science and Technology Issues,zh
49,Chinese,"Bangkok,Bangkok,Thailand",??,Novel Science and Technology Issues,zh
49,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Novel Science and Technology Issues,zh
49,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Novel Science and Technology Issues,zh
52,Chinese,"Washington,District of Columbia,United States",??,Novel Science and Technology Issues,zh
52,Chinese,"Bangkok,Bangkok,Thailand",??,Novel Science and Technology Issues,zh
52,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??,Novel Science and Technology Issues,zh
52,Chinese,"Central Jakarta,Jakarta,Indonesia",??,Novel Science and Technology Issues,zh
87,Chinese,"Washington,District of Columbia,United States",??????,Novel Science and Technology Issues,zh
87,Chinese,"Bangkok,Bangkok,Thailand",??????,Novel Science and Technology Issues,zh
87,Chinese,"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia",??????,Novel Science and Technology Issues,zh
87,Chinese,"Central Jakarta,Jakarta,Indonesia",??????,Novel Science and Technology Issues,zh
5,English,"Washington,District of Columbia,United States",Environment,Canonical Scientific Issues,en
5,English,"London,England,United Kingdom",Environment,Canonical Scientific Issues,en
5,English,"Abuja,Federal Capital Territory,Nigeria",Environment,Canonical Scientific Issues,en
5,English,"Manila,Metro Manila,Philippines",Environment,Canonical Scientific Issues,en
5,English,"New Delhi,Delhi,India",Environment,Canonical Scientific Issues,en
6,English,"Washington,District of Columbia,United States",Ecosystem,Canonical Scientific Issues,en
6,English,"London,England,United Kingdom",Ecosystem,Canonical Scientific Issues,en
6,English,"Abuja,Federal Capital Territory,Nigeria",Ecosystem,Canonical Scientific Issues,en
6,English,"Manila,Metro Manila,Philippines",Ecosystem,Canonical Scientific Issues,en
6,English,"New Delhi,Delhi,India",Ecosystem,Canonical Scientific Issues,en
8,English,"Washington,District of Columbia,United States",Pollution,Canonical Scientific Issues,en
8,English,"London,England,United Kingdom",Pollution,Canonical Scientific Issues,en
8,English,"Abuja,Federal Capital Territory,Nigeria",Pollution,Canonical Scientific Issues,en
8,English,"Manila,Metro Manila,Philippines",Pollution,Canonical Scientific Issues,en
8,English,"New Delhi,Delhi,India",Pollution,Canonical Scientific Issues,en
12,English,"Washington,District of Columbia,United States",Fungus,Canonical Scientific Issues,en
12,English,"London,England,United Kingdom",Fungus,Canonical Scientific Issues,en
12,English,"Abuja,Federal Capital Territory,Nigeria",Fungus,Canonical Scientific Issues,en
12,English,"Manila,Metro Manila,Philippines",Fungus,Canonical Scientific Issues,en
12,English,"New Delhi,Delhi,India",Fungus,Canonical Scientific Issues,en
13,English,"Washington,District of Columbia,United States",Mammal,Canonical Scientific Issues,en
13,English,"London,England,United Kingdom",Mammal,Canonical Scientific Issues,en
13,English,"Abuja,Federal Capital Territory,Nigeria",Mammal,Canonical Scientific Issues,en
13,English,"Manila,Metro Manila,Philippines",Mammal,Canonical Scientific Issues,en
13,English,"New Delhi,Delhi,India",Mammal,Canonical Scientific Issues,en
16,English,"Washington,District of Columbia,United States",Solution,Canonical Scientific Issues,en
16,English,"London,England,United Kingdom",Solution,Canonical Scientific Issues,en
16,English,"Abuja,Federal Capital Territory,Nigeria",Solution,Canonical Scientific Issues,en
16,English,"Manila,Metro Manila,Philippines",Solution,Canonical Scientific Issues,en
16,English,"New Delhi,Delhi,India",Solution,Canonical Scientific Issues,en
20,English,"Washington,District of Columbia,United States",Atom,Canonical Scientific Issues,en
20,English,"London,England,United Kingdom",Atom,Canonical Scientific Issues,en
20,English,"Abuja,Federal Capital Territory,Nigeria",Atom,Canonical Scientific Issues,en
20,English,"Manila,Metro Manila,Philippines",Atom,Canonical Scientific Issues,en
20,English,"New Delhi,Delhi,India",Atom,Canonical Scientific Issues,en
28,English,"Washington,District of Columbia,United States",Energy,Canonical Scientific Issues,en
28,English,"London,England,United Kingdom",Energy,Canonical Scientific Issues,en
28,English,"Abuja,Federal Capital Territory,Nigeria",Energy,Canonical Scientific Issues,en
28,English,"Manila,Metro Manila,Philippines",Energy,Canonical Scientific Issues,en
28,English,"New Delhi,Delhi,India",Energy,Canonical Scientific Issues,en
29,English,"Washington,District of Columbia,United States",Weight,Canonical Scientific Issues,en
29,English,"London,England,United Kingdom",Weight,Canonical Scientific Issues,en
29,English,"Abuja,Federal Capital Territory,Nigeria",Weight,Canonical Scientific Issues,en
29,English,"Manila,Metro Manila,Philippines",Weight,Canonical Scientific Issues,en
29,English,"New Delhi,Delhi,India",Weight,Canonical Scientific Issues,en
35,English,"Washington,District of Columbia,United States",Solar system,Canonical Scientific Issues,en
35,English,"London,England,United Kingdom",Solar system,Canonical Scientific Issues,en
35,English,"Abuja,Federal Capital Territory,Nigeria",Solar system,Canonical Scientific Issues,en
35,English,"Manila,Metro Manila,Philippines",Solar system,Canonical Scientific Issues,en
35,English,"New Delhi,Delhi,India",Solar system,Canonical Scientific Issues,en
38,English,"Washington,District of Columbia,United States",Evolution,Canonical Scientific Issues,en
38,English,"London,England,United Kingdom",Evolution,Canonical Scientific Issues,en
38,English,"Abuja,Federal Capital Territory,Nigeria",Evolution,Canonical Scientific Issues,en
38,English,"Manila,Metro Manila,Philippines",Evolution,Canonical Scientific Issues,en
38,English,"New Delhi,Delhi,India",Evolution,Canonical Scientific Issues,en
53,English,"Washington,District of Columbia,United States",Malnutrition,Socio-Scientific Isuues,en
53,English,"London,England,United Kingdom",Malnutrition,Socio-Scientific Isuues,en
53,English,"Abuja,Federal Capital Territory,Nigeria",Malnutrition,Socio-Scientific Isuues,en
